name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Kady Kennelly,D (C),,-,ENG,NONE,7,23/09/2007,5760,189,15,Ashford,,ENG,UK & Ireland,ENG,ESP,"6'0""",6,0,182.88,66,0,0,NO
Kieran Graham,AM (C),Barnsley,English Football League 1,ENG,ENG3,4,31/08/2007,5783,190,15,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,59,0,0,YES
Lennon Patterson,D (L),Wolves,English Premier Division,ENG,ENG1,1,26/08/2007,5788,190,15,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,YES
Ashton McWilliams,D (R),Aston Villa,English Premier Division,ENG,ENG1,1,25/08/2007,5789,190,15,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,61,0,0,YES
Divine Mukasa,M (C),Man City,English Premier Division,ENG,ENG1,1,22/08/2007,5792,190,15,London,,ENG,UK & Ireland,ENG,UGA,"5'11""",5,11,180.34,61,0,0,YES
Marcell Washington,D/WB (L),Chelsea,English Premier Division,ENG,ENG1,1,21/08/2007,5793,190,15,Cambridge,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,52,0,0,YES
Lewis Hammond,D (R),,-,ENG,NONE,7,20/08/2007,5794,190,15,Radcliffe,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,NO
Alfie Goodwin,AM (C),Notts Co,English Football League 2,ENG,ENG4,5,20/08/2007,5794,190,15,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,56,0,0,NO
Freddie Cowin,D (L),Crystal Palace,English Premier Division,ENG,ENG1,1,19/08/2007,5795,190,15,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,50,0,0,YES
Verrell George,ST (C),Reading,English Football League 1,ENG,ENG3,4,16/08/2007,5798,190,15,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,58,0,0,YES
David Cox,D (R),,-,ENG,NONE,7,15/08/2007,5799,190,15,Salford,,ENG,UK & Ireland,ENG,NIR,"6'1""",6,1,185.42,74,0,0,NO
Harry Stringfellow,"DM, M (C)",Preston,English Football League Championship,ENG,ENG2,3,14/08/2007,5800,190,15,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,57,0,0,YES
Patrick Gater,M (L),,-,ENG,NONE,7,11/08/2007,5803,190,15,Trowbridge,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,51,0,0,NO
Mikey Moore,AM (LC),Tottenham,English Premier Division,ENG,ENG1,1,11/08/2007,5803,190,15,Southwark,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,YES
Harvey Lawson,GK,Notts Co,English Football League 2,ENG,ENG4,5,09/08/2007,5805,190,15,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,54,0,0,NO
