name,position_x,group_x,date_of_birth,birth_month_x,birth_quarter_x,appearances_pred,goals_pred,tier_pred,position_y,group_y,club,division,based_in,division_tier,tier_quality,birth_month_y,birth_quarter_y,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,nation_of_birth,birth_region,nationality,second_nationality,height_(cm),weight_(kg),goals,appearances,is_top_4_tier,appearances_difference,goals_difference,tier_difference
Joe Willock,AM (RLC),Forward,20/08/1999,8,4,8,2,1.0,M (C),Midfielder,Newcastle,English Premier Division,ENG,ENG1,1,8,4,8716,286,23,London,ENG,UK & Ireland,ENG,MSR,152.4,71,14,118,YES,-110,-12,0.0
Joe Cook,D (C),Defender,31/07/1999,7,4,10,1,4.0,D (C),Defender,Dorking,English National League,ENG,ENG5,6,7,4,8736,287,23,Coventry,ENG,UK & Ireland,ENG,,154.9,76,7,131,NO,-121,-6,-2.0
Joe Rankin-Costello,D (RC),Defender,26/07/1999,7,4,8,1,4.0,M (C),Midfielder,Blackburn,English Football League Championship,ENG,ENG2,3,7,4,8741,287,23,Stockport,ENG,UK & Ireland,ENG,,182.9,71,2,59,YES,-51,-1,1.0
John McAtee,AM (C),Forward,23/07/1999,7,4,9,3,4.0,ST (C),Forward,Barnsley,English Football League 1,ENG,ENG3,4,7,4,8744,287,23,Salford,ENG,UK & Ireland,ENG,,154.9,66,28,159,YES,-150,-25,0.0
Aaron Cosgrave,"AM (R), ST (C)",Forward,17/07/1999,7,4,8,2,4.0,ST (C),Forward,FC Halifax,English National League,ENG,ENG5,6,7,4,8750,287,23,Brentwood,ENG,UK & Ireland,ENG,,188.0,80,18,106,NO,-98,-16,-2.0
Scott Twine,ST (C),Forward,14/07/1999,7,4,10,2,4.0,AM (LC),Forward,Bristol City,English Football League Championship,ENG,ENG2,3,7,4,8753,287,23,Swindon,ENG,UK & Ireland,ENG,,175.3,68,48,165,YES,-155,-46,1.0
Archie Thomas,M (C),Midfielder,12/07/1999,7,4,9,2,1.0,M (C),Midfielder,,,ENG,NONE,7,7,4,8755,287,23,Plymouth,ENG,UK & Ireland,ENG,,172.7,73,3,47,NO,-38,-1,-6.0
Paul Kalambayi,D (C),Defender,09/07/1999,7,4,13,4,4.0,D (C),Defender,AFC Wimbledon,English Football League 2,ENG,ENG4,5,7,4,8758,287,23,London,ENG,UK & Ireland,ENG,COD,190.5,97,1,90,NO,-77,3,-1.0
Tyler Frost,M/AM (R),Midfielder,07/07/1999,7,4,10,2,4.0,"WB (R), M (RC), AM (R)",Defender,Aldershot,English National League,ENG,ENG5,6,7,4,8760,287,23,Reading,ENG,UK & Ireland,ENG,,175.3,72,6,64,NO,-54,-4,-2.0
Ben Morris,"AM (R), ST (C)",Forward,06/07/1999,7,4,8,2,4.0,"AM (L), ST (C)",Forward,Detroit City,USSL Championship Eastern Conference,USA,USA2,4,7,4,8761,287,23,Colchester,ENG,UK & Ireland,ENG,,175.3,64,11,70,YES,-62,-9,0.0
