name,position,group,club,division,based_in,division_tier,tier_quality,date_of_birth,birth_month,birth_quarter,age_(days)_on_1_july_2015,age_(months)_on_1_july_2015,age_(years)_on_1_july_2015,birth_city,nation_of_birth,birth_region,nationality,second_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4_tier,train_or_test
Connor Perry-Holmes,AM (C),Forward,Kidderminster,NaN,ENG,NONE,7,08/12/1998,12,2,6049,198,16,NaN,ENG,UK & Ireland,ENG,,,,,184,72,2,2,,
Rushian Hepburn-Murphy,ST (C),Forward,Aston Villa,English Premier Division,ENG,ENG1,1,28/08/1998,8,4,6151,202,16,Birmingham,ENG,UK & Ireland,ENG,,,,,171,66,0,1,,
Dan Matsuzaka,D (C),Defender,Southend,English Football League 1,ENG,ENG3,4,13/08/1998,8,4,6166,202,16,NaN,ENG,UK & Ireland,ENG,,,,,196,88,0,10,,
Josh Baker,M/AM (C),Midfielder,Hull,English Football League Championship,ENG,ENG2,3,14/07/1998,7,4,6196,203,16,Winterton,ENG,UK & Ireland,ENG,,,,,180,70,0,3,,
James Tilley,"M (RL), AM (RLC), ST (C)",Midfielder,Brighton,English Football League Championship,ENG,ENG2,3,13/06/1998,6,4,6227,204,17,Haywards Heath,ENG,UK & Ireland,ENG,,,,,183,75,0,1,,
Tolani Omotala,ST (C),Forward,Tranmere,NaN,ENG,NONE,7,16/04/1998,4,3,6285,206,17,NaN,ENG,UK & Ireland,ENG,,,,,181,68,0,1,,
Reece Webb-Foster,ST (C),Forward,Bradford City,English Football League 1,ENG,ENG3,4,07/03/1998,3,3,6325,207,17,Keighley,ENG,UK & Ireland,ENG,,,,,181,58,0,1,,
Mathew Stevens,ST (C),Forward,Barnet,English Football League 2,ENG,ENG4,5,12/02/1998,2,2,6348,208,17,NaN,ENG,UK & Ireland,ENG,,,,,181,64,0,1,,
Corbin Shires,D (C),Defender,Mansfield,English Football League 2,ENG,ENG4,5,31/12/1997,12,2,6391,210,17,NaN,ENG,UK & Ireland,ENG,,,,,194,74,2,8,,
James Bree,"D/WB (R), M (RC)",Defender,Barnsley,English Football League 1,ENG,ENG3,4,11/12/1997,12,2,6411,210,17,Wakefield,ENG,UK & Ireland,ENG,,,,,172,60,0,12,,
Adam May,"DM, M (C)",Midfielder,Portsmouth,English Football League 2,ENG,ENG4,5,06/12/1997,12,2,6416,210,17,NaN,ENG,UK & Ireland,ENG,,,,,187,77,0,1,,
Oliver Shenton,M (C),Midfielder,Stoke,English Premier Division,ENG,ENG1,1,06/11/1997,11,1,6446,211,17,StokeNaNonNaNTrent,ENG,UK & Ireland,ENG,,,,,173,55,0,1,,
Jodi Jones,AM (C),Forward,Dag & Red,English Football League 2,ENG,ENG4,5,22/10/1997,10,1,6461,212,17,London,ENG,UK & Ireland,ENG,,,,,173,62,1,2,,
Ben Hirst,ST (C),Forward,York,English Football League 2,ENG,ENG4,5,21/10/1997,10,1,6462,212,17,York,ENG,UK & Ireland,ENG,,,,,186,82,0,3,,
Alec Jenkins,ST (C),Forward,Portimonense,Portuguese Second League,POR,#N/A,#N/A,20/10/1997,10,1,6463,212,17,NaN,ENG,UK & Ireland,ENG,POR,,,,180,71,0,1,,
Callum Thomas,GK,Goalkeeper,Charlton,English Football League Championship,ENG,ENG2,3,26/09/1997,9,1,6487,213,17,NaN,ENG,UK & Ireland,ENG,,,,,183,75,0,4,,
Karlan Ahearne-Grant,ST (C),Forward,Charlton,English Football League Championship,ENG,ENG2,3,18/09/1997,9,1,6495,213,17,London,ENG,UK & Ireland,ENG,SCO,,,,178,79,0,5,,
Cory Harvey,GK,Goalkeeper,Plymouth,English Football League 2,ENG,ENG4,5,16/09/1997,9,1,6497,213,17,Plymouth,ENG,UK & Ireland,ENG,,,,,178,71,0,4,,
Ainsley Maitland-Niles,M/AM (RC),Midfielder,Ipswich,English Football League Championship,ENG,ENG2,3,29/08/1997,8,4,6515,214,17,Ilford,ENG,UK & Ireland,ENG,,,,,181,75,0,1,,
Joe Fitzpatrick,M (C),Midfielder,Mansfield,English Football League 2,ENG,ENG4,5,20/08/1997,8,4,6524,214,17,NaN,ENG,UK & Ireland,ENG,,,,,181,75,0,3,,
Joey Taylor,D (L),Defender,Welling,NaN,ENG,NONE,7,18/08/1997,8,4,6526,214,17,NaN,ENG,UK & Ireland,ENG,,,,,191,77,0,2,,
Dylan Mottley-Henry,"AM (RL), ST (C)",Forward,Bradford City,English Football League 1,ENG,ENG3,4,02/08/1997,8,4,6542,214,17,Leeds,ENG,UK & Ireland,ENG,,,,,182,76,0,1,,
Louis Reed,"DM, M (C)",Midfielder,Sheff Utd,English Football League 1,ENG,ENG3,4,25/07/1997,7,4,6550,215,17,Sheffield,ENG,UK & Ireland,ENG,,,,,166,58,0,20,,
Jake Orrell,M (C),Midfielder,Chesterfield,English Football League 1,ENG,ENG3,4,17/07/1997,7,4,6558,215,17,NaN,ENG,UK & Ireland,ENG,,,,,180,65,0,6,,
Rico Henry,D/WB (L),Defender,Walsall,English Football League 1,ENG,ENG3,4,08/07/1997,7,4,6567,215,17,Edgbaston,ENG,UK & Ireland,ENG,,,,,170,62,0,9,,
Luke Maxwell,M (C),Midfielder,Kidderminster,NaN,ENG,NONE,7,06/07/1997,7,4,6569,215,17,NaN,ENG,UK & Ireland,ENG,,,,,187,80,0,10,,
Louis Saebe,ST (C),Forward,Holbeach,NaN,ENG,NONE,7,05/07/1997,7,4,6570,215,17,NaN,ENG,UK & Ireland,ENG,,,,,176,69,0,2,,
Kieran Green,M (C),Midfielder,Hartlepool,English Football League 2,ENG,ENG4,5,30/06/1997,6,4,6575,216,18,StocktonNaNonNaNTees,ENG,UK & Ireland,ENG,,,,,175,80,0,1,,
Courtney Senior,AM (R),Forward,Brentford,English Football League Championship,ENG,ENG2,3,30/06/1997,6,4,6575,216,18,London,ENG,UK & Ireland,ENG,,,,,184,78,0,1,,
Henry Cameron,M/AM (R),Midfielder,Blackpool,English Football League 1,ENG,ENG3,4,28/06/1997,6,4,6577,216,18,Preston,ENG,UK & Ireland,ENG,NZL,,,,178,71,1,11,,
Scott Burgess,M (C),Midfielder,Bury,English Football League 1,ENG,ENG3,4,27/06/1997,6,4,6578,216,18,Warrington,ENG,UK & Ireland,ENG,,,,,177,70,0,1,,
